"fecha","ciudad","producto","ventas","unidades_vendidas","edad_cliente","promocion","satisfaccion_cliente","tasa_devolucion"
2019-01-01,"Quito","Leche",399.26,49,24,TRUE,2,0.08
2019-01-02,"Guayaquil","Atún",75.36,31,24,FALSE,4,0.09
2019-01-03,"Guayaquil","Verduras",414.08,34,45,FALSE,5,0.02
2019-01-04,"Quito","Carne",250.49,19,53,FALSE,4,0.04
2019-01-05,"Manta","Atún",313.35,31,34,FALSE,3,0.02
2019-01-06,"Manta","Atún",235.28,37,39,FALSE,4,0.03
2019-01-07,"Portoviejo","Leche",114.27,42,18,FALSE,4,0.07
2019-01-08,"Manta","Carne",361.15,20,45,TRUE,1,0.01
2019-01-09,"Cuenca","Verduras",437.59,42,59,FALSE,2,0.05
2019-01-10,"Cuenca","Arroz",248.67,37,36,TRUE,3,0.09
2019-01-11,"Manta","Frutas",187.21,19,32,FALSE,5,0
2019-01-12,"Guayaquil","Carne",399.59,46,42,FALSE,1,0.03
2019-01-13,"Guayaquil","Frutas",218.17,6,19,TRUE,4,0.09
2019-01-14,"Portoviejo","Frutas",164.47,26,32,FALSE,2,0.04
2019-01-15,"Guayaquil","Frutas",283.09,5,35,FALSE,5,0.1
2019-01-16,"Guayaquil","Atún",258.24,44,19,FALSE,4,0.07
2019-01-17,"Guayaquil","Pollo",460.26,48,20,FALSE,1,0.03
2019-01-18,"Guayaquil","Arroz",296.53,29,55,TRUE,4,0.09
2019-01-19,"Guayaquil","Carne",425.76,22,24,FALSE,2,0.08
2019-01-20,"Manta","Pan",342.64,40,19,FALSE,1,0.09
2019-01-21,"Quito","Atún",240.19,5,56,FALSE,5,0.05
2019-01-22,"Cuenca","Carne",171.2,25,25,FALSE,5,0.08
2019-01-23,"Portoviejo","Pollo",368.4,23,46,FALSE,2,0
2019-01-24,"Guayaquil","Leche",407.05,29,23,FALSE,4,0.07
2019-01-25,"Manta","Frutas",470.08,47,56,FALSE,2,0.06
2019-01-26,"Portoviejo","Leche",322.96,26,31,FALSE,5,0.05
2019-01-27,"Portoviejo","Carne",342.95,36,56,FALSE,1,0.02
2019-01-28,"Quito","Pollo",146.31,3,40,FALSE,3,0.07
2019-01-29,"Manta","Frutas",258.47,19,29,FALSE,1,0.02
2019-01-30,"Cuenca","Verduras",183.99,10,53,TRUE,2,0.07
2019-01-31,"Manta","Carne",405.4,44,21,FALSE,1,0.1
2019-02-01,"Quito","Frutas",345.39,9,30,FALSE,3,0.02
2019-02-02,"Manta","Pollo",446.33,44,54,FALSE,2,0.01
2019-02-03,"Portoviejo","Frutas",350.74,16,21,FALSE,3,0.02
2019-02-04,"Guayaquil","Frutas",311.98,37,18,TRUE,2,0.05
2019-02-05,"Cuenca","Atún",280.05,28,59,FALSE,2,0.09
2019-02-06,"Manta","Leche",349.18,36,53,FALSE,4,0.09
2019-02-07,"Quito","Pollo",166.41,31,50,FALSE,2,0
2019-02-08,"Manta","Frutas",51.64,49,59,TRUE,5,0.03
2019-02-09,"Quito","Pan",231.84,43,51,FALSE,3,0.08
2019-02-10,"Portoviejo","Atún",270.9,36,23,FALSE,2,0.09
2019-02-11,"Guayaquil","Frutas",138.42,42,59,FALSE,3,0.03
2019-02-12,"Portoviejo","Pollo",346.57,8,58,FALSE,2,0.05
2019-02-13,"Portoviejo","Frutas",81.7,2,56,FALSE,5,0.01
